HF    FCI_atom    FCI_emb    VQE_emb
-12.585645507937478    -12.6508963100228    -12.623496403920404    (-12.632403696660822-0.0020774885618389124j)
-12.585645507937478    -12.65089631002442    -12.623496403946382    (-12.624380036428036-0.0011882674346851765j)
-12.585645507937478    -12.650896310022574    -12.623496403806026    (-12.625968883678244-0.0004098732596757093j)
-12.585645507937478    -12.650896310024972    -12.623496404079964    (-12.624666771789638+0.004484745154453433j)
-12.585645507937478    -12.650896310021981    -12.62349640395722    (-12.632365553839467-0.000399854101689414j)
-12.585645507937478    -12.650896310023168    -12.623496403955137    (-12.637122348821622+0.0006629549307806031j)
-12.585645507937478    -12.650896310023505    -12.623496403956525    (-12.611688762957899+0.0011896438921809788j)
-12.585645507937478    -12.650896310024557    -12.62349640391548    (-12.60990208557207+0.00021738883280507035j)
-12.585645507937478    -12.650896310024065    -12.623496403945397    (-12.608655166895133-0.0006042305132776254j)
-12.585645507937478    -12.650896310022638    -12.623496403957034    (-12.619043272530577+0.0006956083197990841j)
-12.585645507937478    -12.650896310023674    -12.623496403956903    (-12.628434092452974+0.0015568525593334305j)
-12.585645507937478    -12.650896310026866    -12.623496403946588    (-12.626679134394772-0.002093131243404586j)
-12.585645507937478    -12.6508963100243    -12.623496403958292    (-12.644638325885378+0.00131997728772266j)
-12.585645507937478    -12.650896310024427    -12.62349640395277    (-12.619013228555046+0.00011783103048086816j)
-12.585645507937478    -12.650896310023708    -12.623496403925799    (-12.633471411289669-0.0002565634709541426j)
-12.585645507937478    -12.650896310022139    -12.623496403955647    (-12.615747840217214-0.0012433488082297815j)
-12.585645507937478    -12.650896310022523    -12.62349640395756    (-12.619896455686863+0.001640184336539934j)
-12.585645507937478    -12.650896310026047    -12.623496403965355    (-12.639059267729849+0.0003990180480348024j)
-12.585645507937478    -12.65089631002356    -12.623496403950922    (-12.620321252774644-0.00029312328005582234j)
-12.585645507937478    -12.650896310023322    -12.623496403956437    (-12.608709071216131-0.00032652516374263423j)
-12.585645507937478    -12.650896310025335    -12.62349640394825    (-12.629251003780933+0.0028229822681275743j)
-12.585645507937478    -12.650896310023873    -12.623496403962822    (-12.619293256257178-0.0011848005754537024j)
-12.585645507937478    -12.650896310022109    -12.623496403956302    (-12.633508119245265-0.00023930565003824316j)
-12.585645507937478    -12.650896310025475    -12.623496403956054    (-12.63683693619823+0.0027083802650514485j)
-12.585645507937478    -12.65089631002696    -12.623496403958047    (-12.618355731594907-0.0005937637311162415j)
-12.585645507937478    -12.65089631002791    -12.623496403942047    (-12.629656941274131+0.0006407417035983653j)
-12.585645507937478    -12.650896310023462    -12.62349640394363    (-12.619045658763701+0.0018688149177850258j)
-12.585645507937478    -12.650896310024017    -12.623496403932469    (-12.62469203036223-0.0008631202606008972j)
-12.585645507937478    -12.65089631002426    -12.623496403955382    (-12.628094518527508-0.0004815812395065824j)
-12.585645507937478    -12.650896310024713    -12.623496403958518    (-12.62744137703631-0.002228248561997048j)
-12.585645507937478    -12.650896310024315    -12.623496403953366    (-12.642135010097245-0.0007886169185237099j)
-12.585645507937478    -12.650896310029417    -12.62349640395355    (-12.634607786126498-0.0015867105697735466j)
-12.585645507937478    -12.65089631002369    -12.623496403957278    (-12.618004578804477+0.0004977573016357427j)
-12.585645507937478    -12.650896310022064    -12.623496403945605    (-12.622496715744491-0.00061775652529061j)
-12.585645507937478    -12.650896310024356    -12.623496403938978    (-12.624369345209562-0.0002240123455344296j)
-12.585645507937478    -12.650896310025535    -12.623496403980777    (-12.62835038995967+0.0024310692319877043j)
-12.585645507937478    -12.650896310022919    -12.6234964039567    (-12.605001931104086+0.00026483424535441244j)
-12.585645507937478    -12.650896310023112    -12.623496403951451    (-12.627179576706506+0.00045324870534379797j)
-12.585645507937478    -12.650896310023086    -12.623496403958242    (-12.620998468659575-0.0012450489679360303j)
-12.585645507937478    -12.650896310022869    -12.62349640395705    (-12.630073268355856-0.00018274084939544558j)
-12.585645507937478    -12.65089631002521    -12.623496403815503    (-12.614358823981748-0.0002913472948909776j)
-12.585645507937478    -12.650896310025583    -12.623496403914423    (-12.63193036014422+0.0017629497728118965j)
-12.585645507937478    -12.650896310022286    -12.623496403943468    (-12.634103676333321-0.00028639974790549503j)
-12.585645507937478    -12.650896310022391    -12.623496403957144    (-12.632081949175658+0.0003784572946541762j)
-12.585645507937478    -12.650896310023343    -12.623496403927716    (-12.626650207884333+0.0017258853813614502j)
-12.585645507937478    -12.650896310025914    -12.623496403957212    (-12.640029355857587+9.534734370529492e-06j)
-12.585645507937478    -12.650896310025828    -12.62349640395708    (-12.627318234173497-0.0015527151578500758j)
-12.585645507937478    -12.650896310023084    -12.623496403834015    (-12.620791636497449-0.00061495380147631j)
-12.585645507937478    -12.650896310023793    -12.623496404012004    (-12.609784004323515-0.001497532196782407j)
-12.585645507937478    -12.65089631002629    -12.623496403941983    (-12.633111577631192-0.001898316029439918j)
-12.585645507937478    -12.650896310024738    -12.623496403951172    (-12.630801522230529-0.0031624152401771477j)
-12.585645507937478    -12.650896310025217    -12.623496403953492    (-12.610346178394101-9.358278223120545e-06j)
-12.585645507937478    -12.650896310023509    -12.623496403946676    (-12.622303858480272-0.0005047650585594916j)
-12.585645507937478    -12.650896310024336    -12.623496403954737    (-12.616178157586006-0.0004836610920223233j)
-12.585645507937478    -12.650896310023718    -12.623496403957779    (-12.640591674081223+0.0019284029030361613j)
-12.585645507937478    -12.650896310023137    -12.623496403960717    (-12.634827140504605-0.00038403092562079696j)
