c0    e_fci    e_hf    ansatz_energy    HF+CS    HF+meas_diag    pauli_all    pauli_qbw    CCSD
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8437935781787789-0.0015120493191673621j)    -1.8664004657308224    -1.8536604752690815    -1.9113197930360146    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8633222311675341-0.09000724634097432j)    -1.9035974647167921    -1.9686269169410093    -1.827257174092588    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8816730363036145-0.027737611393656263j)    -1.926630865226491    -1.9215229889995404    -1.8683891348370851    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9299946434968474-0.046328308387649834j)    -1.902138998396003    -1.961321091941052    -1.705611854113948    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9234405145153401+0.01340933605060133j)    -1.9011997252984043    -1.8741446892211338    -2.0210900468785433    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9972558101681006-0.021385360624867247j)    -1.8736997111457452    -1.9240794889731743    -1.9394743970787562    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9709619641267961+0.04065846340745114j)    -1.8435856400811124    -1.942944502554825    -1.8544228953936812    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8923423267481991+0.013197786830974502j)    -1.9075806085393496    -1.8898379969800434    -2.0054177554829216    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.922972462980995+0.07062231299097743j)    -1.8549294891671229    -1.874973243356987    -1.8545784382586414    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9691822790461762+0.05198940099318487j)    -1.9037119523968236    -1.869032268223896    -1.6931257939282134    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9372679708101304-0.08731147708516941j)    -1.8939828175915636    -1.8911912844785839    -1.9969350574067513    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9740361582928565-0.025882409186445854j)    -1.9698814752473046    -1.877675320259855    -1.9543557963857392    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9223337495484967+0.03717670672011614j)    -1.8963021456579285    -1.879875424195863    -1.7591513220212154    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9183551778401247-0.03703942455338864j)    -1.9062573766143185    -1.8855245961539324    -2.0022616226926693    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8786060099197235+0.10337475063619983j)    -1.9077787705659284    -1.9024843366609419    -1.8826173882237502    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9094732550055145+0.0450251709349645j)    -1.8724159406903231    -1.897505323409823    -2.0248280344353935    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8474570523507636-0.10461933821060505j)    -1.811033044376965    -1.8998885745106555    -1.9296092916250611    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9360840954647158-0.058816980458452j)    -1.8934473534294929    -1.8923149777484942    -1.9507939531381084    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.893637949102697+0.04437731225981296j)    -1.9084352966146798    -1.9043365729195878    -1.9761406571562625    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8398860035725546+0.025338832989935185j)    -1.901295376055325    -1.8147196662980454    -1.934111415861844    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9182454742371522+0.00962905102617216j)    -1.978436368159303    -1.9108011318841869    -1.848009805171857    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.858578982775874+0.029054702018687966j)    -1.8866461130770384    -1.8496990522076664    -1.87385869424118    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9770936253791662-0.03194546389043648j)    -1.8937478193126702    -2.004936940969162    -1.9064968366209845    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9488069703742668-0.12070607758036066j)    -1.8582852672126922    -1.8476846813521763    -1.9177095058094766    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.897832433449748-0.11228867164755865j)    -1.8659200427083888    -1.9544568042679729    -1.8734493708043045    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8993383917052005+0.10789609774115674j)    -1.885834807770186    -1.974851611976188    -1.9604286477096768    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.873941225800167+0.011180113150174208j)    -1.9112203555274363    -1.8513377312919368    -1.9217275594866237    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8191063272994827-0.006408019030195583j)    -1.9038603755132577    -1.8440206691117653    -1.9109129373735372    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.881436697768713-0.0006146219637215627j)    -1.8905402643499345    -1.887852979959072    -1.8467914351982189    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.9914787205910403+0.04747599143147935j)    -1.9394272539246376    -1.8470557219009167    -1.8459772811176787    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.878687153699818+0.05629719799906753j)    -1.895253561632723    -1.962547217989028    -1.9493135385337166    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8325708731349102-0.14386142516330408j)    -1.9073950911433717    -1.8237584540284344    -1.9804647983851738    -1.9160861180398077
-0.6941000041764832    -1.8977806459898723    -1.5756164767018657    -1.8977806459898723    (-1.8970526442550149-0.05112944495558615j)    -1.8516589104214236    -1.9072175426843727    -1.9348784991813264    -1.9160861180398077
