E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.1059109019211    -368.13346611079794    -368.13346611119795    -368.1574848826795    -0.5933966464415725    -0.5570294576735938    -0.5608790550823338    0.07329714591162943
-368.1059109019211    -368.13346611076946    -368.13346611119795    -368.12385767429157    -0.5933966464415725    -0.5570294626325545    -0.5608790550823338    0.3774904466255781
-368.1059109019211    -368.1334661107981    -368.13346611119795    -368.1255525880133    -0.5933966464415725    -0.5570294606973795    -0.5608790550823338    0.2386996521650922
-368.1059109019211    -368.1334661107973    -368.13346611119795    -368.1276520232927    -0.5933966464415725    -0.5570294601067506    -0.5608790550823338    0.3198753553176032
-368.1059109019211    -368.1334661108029    -368.13346611119795    -368.1188187557292    -0.5933966464415725    -0.5570294611473049    -0.5608790550823338    0.4689224390530128
-368.1059109019211    -368.133466110786    -368.13346611119795    -368.1032756548824    -0.5933966464415725    -0.5570294600545111    -0.5608790550823338    0.31085538802849016
-368.1059109019211    -368.1334661107957    -368.13346611119795    -368.13487229564413    -0.5933966464415725    -0.5570294575088022    -0.5608790550823338    0.13838048054654423
-368.1059109019211    -368.1334661107968    -368.13346611119795    -368.14106995182414    -0.5933966464415725    -0.5570294600883036    -0.5608790550823338    0.30117565094730187
-368.1059109019211    -368.13346611079004    -368.13346611119795    -368.13583127591914    -0.5933966464415725    -0.5570294610215625    -0.5608790550823338    0.08348851904207368
-368.1059109019211    -368.1334661108042    -368.13346611119795    -368.1215828339583    -0.5933966464415725    -0.5570294665218207    -0.5608790550823338    0.23195297900481737
-368.1059109019211    -368.13346611080004    -368.13346611119795    -368.1553247180292    -0.5933966464415725    -0.5570294660341585    -0.5608790550823338    -0.04503314522625316
-368.1059109019211    -368.13346611081033    -368.13346611119795    -368.1304376932666    -0.5933966464415725    -0.5570294621224733    -0.5608790550823338    0.2242363461148526
-368.1059109019211    -368.1334661107971    -368.13346611119795    -368.13351897627615    -0.5933966464415725    -0.5570294571757867    -0.5608790550823338    0.13254793599322903
-368.1059109019211    -368.13346611079515    -368.13346611119795    -368.1481816381681    -0.5933966464415725    -0.5570294666233548    -0.5608790550823338    0.2372944301599979
-368.1059109019211    -368.13346611079913    -368.13346611119795    -368.13283753228825    -0.5933966464415725    -0.5570294604754241    -0.5608790550823338    0.33361821240112444
-368.1059109019211    -368.1334661107947    -368.13346611119795    -368.136364725807    -0.5933966464415725    -0.5570294621305277    -0.5608790550823338    0.4805862420531375
-368.1059109019211    -368.1334661108032    -368.13346611119795    -368.13495984863397    -0.5933966464415725    -0.5570294600016256    -0.5608790550823338    0.3185259217010327
-368.1059109019211    -368.13346611080453    -368.13346611119795    -368.12858150826    -0.5933966464415725    -0.5570294592522378    -0.5608790550823338    0.11722947857774267
-368.1059109019211    -368.1334661108018    -368.13346611119795    -368.1233820708867    -0.5933966464415725    -0.5570294612058317    -0.5608790550823338    0.21817523126378416
-368.1059109019211    -368.13346611078026    -368.13346611119795    -368.1264482498382    -0.5933966464415725    -0.5570294629641631    -0.5608790550823338    0.3968141967988741
