E_HF    E_int_FCI_emb    E_FCI_emb    E_CS_emb    Sz_HF    Sz_int_FCI_emb    Sz_FCI_emb    Sz_CS_emb
-368.0961690288179    -368.1148512288322    -368.1148512287334    -368.11142565916725    0.6183396680740999    0.5857426546165665    0.5964514984692739    0.618353831434491
-368.0961690288179    -368.11485122882954    -368.1148512287334    -368.1211737373813    0.6183396680740999    0.5857426520452729    0.5964514984692739    0.631638337341677
-368.0961690288179    -368.11485122883585    -368.1148512287334    -368.1170769262798    0.6183396680740999    0.5857426523139632    0.5964514984692739    0.6056363212328929
-368.0961690288179    -368.1148512288457    -368.1148512287334    -368.11499999280716    0.6183396680740999    0.5857426517972927    0.5964514984692739    0.6175204583479845
-368.0961690288179    -368.1148512288092    -368.1148512287334    -368.11661230706983    0.6183396680740999    0.5857426523502903    0.5964514984692739    0.6449953362797941
-368.0961690288179    -368.1148512288109    -368.1148512287334    -368.118164104758    0.6183396680740999    0.5857426543940888    0.5964514984692739    0.6306839214443304
-368.0961690288179    -368.11485122883767    -368.1148512287334    -368.11656533756303    0.6183396680740999    0.5857426539689444    0.5964514984692739    0.6358218333628414
-368.0961690288179    -368.1148512288301    -368.1148512287334    -368.11650139238014    0.6183396680740999    0.585742653896796    0.5964514984692739    0.6384965744400253
-368.0961690288179    -368.11485122883073    -368.1148512287334    -368.1121694095932    0.6183396680740999    0.5857426487468361    0.5964514984692739    0.6238852774447209
-368.0961690288179    -368.1148512288221    -368.1148512287334    -368.1180316599565    0.6183396680740999    0.5857426506207599    0.5964514984692739    0.6334171966507656
-368.0961690288179    -368.1148512288347    -368.1148512287334    -368.1178678392593    0.6183396680740999    0.5857426542030163    0.5964514984692739    0.623049447870849
-368.0961690288179    -368.11485122882135    -368.1148512287334    -368.113745606598    0.6183396680740999    0.5857426499060576    0.5964514984692739    0.643265966969721
-368.0961690288179    -368.11485122882027    -368.1148512287334    -368.1147069545063    0.6183396680740999    0.5857426556769143    0.5964514984692739    0.6142560386280267
-368.0961690288179    -368.11485122883073    -368.1148512287334    -368.1133704211549    0.6183396680740999    0.5857426502564339    0.5964514984692739    0.6226221740841974
-368.0961690288179    -368.11485122881635    -368.1148512287334    -368.1155632995319    0.6183396680740999    0.5857426483486877    0.5964514984692739    0.6214508718250675
-368.0961690288179    -368.11485122883255    -368.1148512287334    -368.11799003893816    0.6183396680740999    0.5857426526699211    0.5964514984692739    0.637642985760348
-368.0961690288179    -368.1148512288341    -368.1148512287334    -368.11525941591333    0.6183396680740999    0.5857426510870687    0.5964514984692739    0.6319136229021842
-368.0961690288179    -368.11485122881976    -368.1148512287334    -368.1117237145665    0.6183396680740999    0.585742650966061    0.5964514984692739    0.6201816857337841
-368.0961690288179    -368.1148512288264    -368.1148512287334    -368.1119395930614    0.6183396680740999    0.5857426555341804    0.5964514984692739    0.6352651635328066
-368.0961690288179    -368.11485122882885    -368.1148512287334    -368.11593405684084    0.6183396680740999    0.5857426564182021    0.5964514984692739    0.6138952500003024
-368.0961690288179    -368.1148512288289    -368.1148512287334    -368.1092968228991    0.6183396680740999    0.5857426500766654    0.5964514984692739    0.6315430029965531
-368.0961690288179    -368.1148512288454    -368.1148512287334    -368.107849252929    0.6183396680740999    0.585742654946128    0.5964514984692739    0.6323937450218727
-368.0961690288179    -368.1148512288265    -368.1148512287334    -368.11547263633696    0.6183396680740999    0.585742651163189    0.5964514984692739    0.6210710127832783
-368.0961690288179    -368.11485122884073    -368.1148512287334    -368.108945353572    0.6183396680740999    0.5857426561256687    0.5964514984692739    0.6172179583255121
-368.0961690288179    -368.1148512277029    -368.1148512287334    -368.11755370870907    0.6183396680740999    0.5857426456363505    0.5964514984692739    0.6367212982791164
-368.0961690288179    -368.1148512288246    -368.1148512287334    -368.10832852915007    0.6183396680740999    0.5857426578304241    0.5964514984692739    0.6256441802883901
-368.0961690288179    -368.1148512288317    -368.1148512287334    -368.1217322147351    0.6183396680740999    0.5857426556325447    0.5964514984692739    0.6324016028511927
-368.0961690288179    -368.1148512288128    -368.1148512287334    -368.1140991598913    0.6183396680740999    0.5857426536163882    0.5964514984692739    0.6198393196339971
-368.0961690288179    -368.1148512288273    -368.1148512287334    -368.12152063700614    0.6183396680740999    0.5857426520042235    0.5964514984692739    0.6252788933769183
-368.0961690288179    -368.11485122883823    -368.1148512287334    -368.11479482701515    0.6183396680740999    0.5857426520621519    0.5964514984692739    0.6339534639696647
-368.0961690288179    -368.11485122883573    -368.1148512287334    -368.10705626708085    0.6183396680740999    0.5857426541239275    0.5964514984692739    0.6197104046825241
-368.0961690288179    -368.1148512288231    -368.1148512287334    -368.11771951811875    0.6183396680740999    0.5857426539268117    0.5964514984692739    0.6269165807121739
-368.0961690288179    -368.1148512288149    -368.1148512287334    -368.1147731317182    0.6183396680740999    0.5857426515805497    0.5964514984692739    0.6307316603655383
-368.0961690288179    -368.1148512288318    -368.1148512287334    -368.1157504781276    0.6183396680740999    0.5857426551437536    0.5964514984692739    0.5978584305367288
-368.0961690288179    -368.11485122881106    -368.1148512287334    -368.1105091764228    0.6183396680740999    0.5857426500503498    0.5964514984692739    0.616129239089817
